Age,Mileage,SocioEcon,GoodStudent,RiskAversion,OtherCar,VehicleYear,MakeModel,SeniorTrain,HomeBase,AntiTheft,RuggedAuto,Antilock,CarValue,Airbag,DrivingSkill,Theft,Cushioning,DrivQuality,DrivHist,Accident,ThisCarDam,OtherCarCost,MedCost,ILiCost,ThisCarCost,PropCost
Adult,FiftyThou,Middle,False,Normal,True,Current,FamilySedan,False,Secure,False,Football,False,TwentyThou,True,SubStandard,False,Good,Poor,One,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Adult,TwentyThou,Prole,False,Cautious,True,Current,Economy,False,City,True,EggShell,False,TenThou,True,Expert,False,Good,Excellent,Zero,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Adult,TwentyThou,Middle,False,Adventurous,False,Older,FamilySedan,False,Rural,False,Football,False,FiveThou,False,Normal,False,Fair,Normal,One,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Adult,Domino,Prole,False,Normal,False,Older,Economy,False,City,False,EggShell,False,FiveThou,False,SubStandard,False,Fair,Poor,Many,Moderate,Moderate,HundredThou,Thousand,Thousand,TenThou,HundredThou
Adult,FiftyThou,Prole,False,Adventurous,False,Older,FamilySedan,False,Rural,False,Tank,False,FiveThou,False,SubStandard,False,Good,Poor,Many,Severe,Severe,HundredThou,Thousand,Thousand,TenThou,HundredThou
Adult,FiftyThou,UpperMiddle,False,Cautious,True,Current,Luxury,False,Secure,True,Football,True,FiftyThou,True,Expert,False,Good,Excellent,Zero,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Adult,FiftyThou,Prole,False,Normal,False,Older,FamilySedan,False,City,False,Tank,False,FiveThou,False,SubStandard,False,Good,Poor,Many,Severe,Moderate,HundredThou,Thousand,Thousand,TenThou,Million
Adult,FiftyThou,Middle,False,Adventurous,True,Older,FamilySedan,False,Suburb,False,Tank,False,TenThou,False,SubStandard,False,Good,Poor,Many,Mild,None,Thousand,Thousand,Thousand,Thousand,Thousand
Senior,TwentyThou,Prole,False,Normal,False,Older,Economy,False,City,True,Football,False,TenThou,False,SubStandard,False,Fair,Poor,Many,Mild,Mild,Thousand,Thousand,Thousand,Thousand,TenThou
Adult,TwentyThou,Middle,False,Normal,True,Older,FamilySedan,False,Rural,False,Football,False,FiveThou,False,Normal,False,Good,Normal,Zero,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Adult,TwentyThou,Middle,False,Cautious,True,Current,Economy,False,Secure,True,EggShell,False,TenThou,True,Expert,False,Fair,Excellent,Zero,None,None,Thousand,Thousand,Thousand,Thousand,TenThou
Adult,TwentyThou,Middle,False,Cautious,True,Older,SportsCar,False,Secure,True,EggShell,False,TwentyThou,False,Normal,False,Fair,Normal,Zero,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Senior,TwentyThou,Prole,False,Cautious,False,Older,Economy,True,City,True,EggShell,False,FiveThou,False,Normal,False,Poor,Normal,Zero,None,None,Thousand,Thousand,Thousand,Thousand,TenThou
Senior,FiftyThou,Prole,False,Cautious,True,Older,Economy,True,City,True,Football,False,FiveThou,False,Normal,False,Fair,Normal,Zero,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Senior,TwentyThou,UpperMiddle,False,Normal,True,Older,FamilySedan,False,Rural,True,Football,False,TenThou,False,Expert,False,Good,Excellent,Zero,Moderate,Moderate,Thousand,TenThou,HundredThou,TenThou,TenThou
Adolescent,FiftyThou,Prole,False,Adventurous,False,Older,Economy,False,Rural,False,EggShell,False,FiveThou,False,SubStandard,False,Fair,Poor,Many,Severe,Severe,HundredThou,HundredThou,TenThou,TenThou,HundredThou
Adult,TwentyThou,Prole,False,Adventurous,True,Older,Economy,False,City,False,EggShell,False,FiveThou,False,SubStandard,False,Poor,Poor,Many,Severe,Severe,Thousand,Million,Thousand,TenThou,TenThou
Adolescent,TwentyThou,Middle,False,Normal,True,Older,FamilySedan,False,Secure,True,Tank,False,FiveThou,False,Normal,False,Good,Normal,Zero,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Adult,FiveThou,Middle,False,Normal,True,Older,SportsCar,False,Suburb,False,EggShell,False,TwentyThou,False,SubStandard,False,Poor,Poor,Many,None,None,Thousand,Thousand,Thousand,Thousand,TenThou
Adult,TwentyThou,Wealthy,False,Cautious,True,Current,Luxury,False,Secure,True,Football,True,FiftyThou,True,Normal,False,Fair,Normal,Zero,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Senior,FiftyThou,Prole,False,Normal,False,Older,SportsCar,True,City,True,EggShell,False,FiveThou,False,Normal,False,Poor,Normal,Zero,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Adult,TwentyThou,Prole,False,Adventurous,True,Current,FamilySedan,False,Rural,False,Football,False,TwentyThou,True,Normal,False,Good,Normal,Zero,None,None,Thousand,Thousand,Thousand,Thousand,TenThou
Senior,FiftyThou,UpperMiddle,False,Normal,True,Current,Luxury,False,Suburb,True,Tank,True,FiftyThou,True,Normal,False,Excellent,Normal,Zero,None,None,Thousand,Thousand,Thousand,Thousand,TenThou
Senior,TwentyThou,Wealthy,False,Normal,True,Current,SuperLuxury,False,Secure,True,Football,True,Million,True,Normal,False,Excellent,Normal,Zero,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Senior,FiftyThou,Prole,False,Normal,True,Older,Economy,False,City,False,EggShell,False,FiveThou,False,SubStandard,False,Poor,Poor,Many,Severe,Severe,HundredThou,Thousand,Thousand,TenThou,Million
Adult,FiftyThou,Middle,False,Normal,True,Current,FamilySedan,False,Suburb,False,Football,False,TwentyThou,True,Normal,False,Good,Normal,Many,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Adolescent,TwentyThou,Middle,False,Adventurous,True,Older,FamilySedan,False,Rural,False,Tank,False,TenThou,False,Normal,False,Good,Normal,Zero,None,None,Thousand,Thousand,Thousand,Thousand,TenThou
Adolescent,FiftyThou,Prole,False,Normal,False,Older,SportsCar,False,Rural,False,EggShell,True,TwentyThou,False,Expert,False,Fair,Excellent,Zero,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Adult,TwentyThou,UpperMiddle,False,Normal,False,Current,FamilySedan,False,Secure,True,Tank,True,TwentyThou,True,SubStandard,False,Excellent,Poor,Many,Mild,None,Thousand,Thousand,Thousand,Thousand,TenThou
Adolescent,TwentyThou,Middle,False,Normal,True,Current,SportsCar,False,Suburb,True,EggShell,True,TwentyThou,True,SubStandard,False,Poor,Poor,Many,None,None,Thousand,Thousand,Thousand,Thousand,TenThou
Senior,FiftyThou,Prole,False,Normal,True,Older,SportsCar,False,City,False,EggShell,False,FiveThou,False,Normal,False,Poor,Normal,One,None,None,Thousand,Thousand,Thousand,Thousand,TenThou
Senior,TwentyThou,Prole,False,Normal,True,Older,FamilySedan,True,City,False,Football,False,FiveThou,False,Normal,False,Fair,Normal,Zero,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Adult,FiftyThou,Middle,False,Normal,True,Current,FamilySedan,False,Suburb,True,Tank,False,TwentyThou,True,Expert,False,Excellent,Excellent,Zero,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Adult,FiveThou,UpperMiddle,False,Normal,True,Older,FamilySedan,False,Secure,True,Football,False,TwentyThou,False,Normal,False,Fair,Normal,Zero,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Adult,TwentyThou,Prole,False,Normal,True,Older,Economy,False,Suburb,False,EggShell,False,FiveThou,False,Expert,False,Poor,Excellent,Zero,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Adult,TwentyThou,Middle,False,Normal,True,Older,FamilySedan,False,Secure,False,Football,False,FiveThou,False,Normal,False,Fair,Normal,Zero,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Adult,FiveThou,Prole,False,Normal,True,Older,Economy,False,City,False,EggShell,False,TenThou,False,Expert,False,Poor,Excellent,Zero,None,None,Thousand,Thousand,Thousand,Thousand,TenThou
Adult,TwentyThou,Middle,False,Cautious,True,Current,SportsCar,False,Secure,True,EggShell,True,TwentyThou,True,Normal,False,Poor,Normal,Zero,None,None,Thousand,Thousand,Thousand,Thousand,TenThou
Adolescent,FiftyThou,Middle,False,Cautious,True,Older,FamilySedan,False,Rural,True,Football,False,FiveThou,False,Normal,False,Fair,Normal,Zero,None,None,Thousand,Thousand,Thousand,Thousand,TenThou
Adult,TwentyThou,UpperMiddle,False,Normal,True,Older,Luxury,False,Rural,True,Football,False,TwentyThou,False,Normal,False,Fair,Normal,Zero,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Adult,Domino,Prole,False,Normal,True,Older,Economy,False,City,False,EggShell,False,FiveThou,False,Normal,False,Poor,Normal,Zero,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Adult,TwentyThou,Prole,False,Normal,True,Older,Economy,False,City,False,EggShell,False,FiveThou,False,SubStandard,False,Fair,Poor,Many,Mild,Mild,Thousand,Thousand,Thousand,Thousand,Thousand
Adolescent,TwentyThou,Middle,True,Normal,False,Older,FamilySedan,False,Secure,False,Tank,False,FiveThou,False,SubStandard,False,Excellent,Poor,Many,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Adolescent,TwentyThou,Middle,False,Adventurous,True,Older,FamilySedan,False,Rural,False,Football,False,FiveThou,False,Normal,False,Good,Normal,Many,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Senior,Domino,Prole,False,Normal,False,Older,FamilySedan,False,Rural,False,Tank,False,FiveThou,False,Normal,False,Excellent,Normal,Zero,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Adult,FiftyThou,Prole,False,Normal,True,Older,Economy,False,Suburb,False,EggShell,False,FiveThou,False,SubStandard,False,Fair,Poor,One,None,None,Thousand,Thousand,Thousand,Thousand,TenThou
Adolescent,FiftyThou,Middle,True,Cautious,True,Older,FamilySedan,False,Secure,True,Football,False,TenThou,True,Normal,False,Fair,Normal,Zero,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Adolescent,FiftyThou,Middle,False,Normal,True,Older,Economy,False,Suburb,True,Football,False,FiveThou,False,Normal,False,Fair,Normal,Zero,None,None,Thousand,Thousand,Thousand,Thousand,TenThou
Senior,Domino,Prole,False,Normal,False,Older,Economy,True,City,False,EggShell,False,FiveThou,False,Normal,False,Poor,Normal,Zero,None,None,Thousand,Thousand,Thousand,Thousand,TenThou
Senior,FiveThou,Middle,False,Cautious,True,Older,Economy,True,Secure,True,EggShell,False,TenThou,False,Normal,False,Poor,Excellent,Zero,None,None,Thousand,Thousand,Thousand,Thousand,TenThou
Adult,TwentyThou,Prole,False,Normal,False,Older,Economy,False,City,False,EggShell,False,FiveThou,False,Normal,False,Fair,Normal,Zero,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Senior,TwentyThou,Prole,False,Normal,False,Older,Economy,False,City,False,EggShell,False,FiveThou,False,Normal,False,Poor,Normal,Many,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Senior,FiveThou,Prole,False,Normal,True,Older,FamilySedan,False,City,False,Football,False,TwentyThou,False,SubStandard,False,Fair,Poor,Many,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Adult,FiveThou,Prole,False,Adventurous,False,Older,Economy,False,City,False,EggShell,False,TenThou,False,Expert,False,Poor,Excellent,Zero,None,None,Thousand,Thousand,Thousand,Thousand,TenThou
Senior,Domino,Prole,False,Normal,False,Older,SportsCar,False,City,False,EggShell,False,FiveThou,False,SubStandard,False,Fair,Poor,Many,None,None,Thousand,Thousand,Thousand,Thousand,TenThou
Senior,TwentyThou,Prole,False,Adventurous,True,Older,Economy,False,Rural,False,EggShell,False,TenThou,False,SubStandard,False,Poor,Poor,Many,Severe,Severe,HundredThou,TenThou,HundredThou,TenThou,HundredThou
Adult,TwentyThou,Prole,False,Normal,False,Older,Economy,False,City,False,EggShell,False,FiveThou,False,Normal,False,Poor,Normal,One,None,None,Thousand,Thousand,Thousand,Thousand,TenThou
Senior,TwentyThou,Middle,False,Normal,True,Current,FamilySedan,True,Suburb,True,Football,False,TwentyThou,True,Normal,False,Fair,Normal,Zero,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Adult,TwentyThou,Middle,False,Normal,True,Current,SportsCar,False,Secure,False,Football,True,TwentyThou,True,Normal,False,Excellent,Normal,Zero,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Adolescent,TwentyThou,Prole,False,Normal,False,Older,Economy,False,City,False,EggShell,False,FiveThou,False,SubStandard,False,Poor,Poor,Zero,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Adult,FiveThou,Middle,False,Cautious,True,Older,Economy,False,Secure,True,EggShell,False,TenThou,False,Normal,False,Fair,Normal,Zero,None,None,Thousand,Thousand,Thousand,Thousand,TenThou
Adult,FiveThou,UpperMiddle,False,Normal,False,Older,Luxury,False,Secure,True,Football,False,FiftyThou,False,SubStandard,False,Good,Poor,Many,Mild,Mild,Thousand,Thousand,Thousand,Thousand,Thousand
Adult,TwentyThou,Prole,False,Cautious,False,Older,Economy,False,City,True,EggShell,False,TenThou,False,Normal,False,Poor,Normal,Zero,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Adult,FiftyThou,Prole,False,Normal,True,Older,FamilySedan,False,City,False,Football,False,FiveThou,False,SubStandard,False,Fair,Poor,Many,Severe,Severe,TenThou,TenThou,Thousand,TenThou,HundredThou
Adult,FiftyThou,UpperMiddle,False,Normal,True,Current,FamilySedan,False,Suburb,True,EggShell,True,TwentyThou,True,SubStandard,False,Good,Poor,Many,Severe,Severe,HundredThou,Thousand,Thousand,HundredThou,HundredThou
Adolescent,FiftyThou,Middle,False,Adventurous,False,Older,FamilySedan,False,Suburb,False,Football,False,TenThou,False,Normal,False,Fair,Poor,One,Severe,Moderate,HundredThou,TenThou,Thousand,Thousand,HundredThou
Senior,TwentyThou,UpperMiddle,False,Normal,True,Current,FamilySedan,False,Suburb,True,Football,True,TwentyThou,True,Normal,False,Good,Normal,Zero,None,None,Thousand,Thousand,Thousand,Thousand,TenThou
Senior,TwentyThou,Prole,False,Cautious,False,Older,Economy,True,City,True,EggShell,False,FiveThou,False,Normal,False,Fair,Normal,Zero,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Senior,FiftyThou,UpperMiddle,False,Adventurous,True,Current,Luxury,False,Secure,False,Football,True,FiftyThou,True,SubStandard,False,Good,Poor,Many,Severe,Severe,HundredThou,Thousand,HundredThou,HundredThou,Million
Adult,FiftyThou,Prole,False,Adventurous,False,Current,Economy,False,City,False,EggShell,False,TenThou,True,Normal,False,Poor,Normal,Zero,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Adult,FiftyThou,Middle,False,Normal,True,Current,FamilySedan,False,Suburb,False,EggShell,False,TwentyThou,True,Normal,False,Poor,Normal,Zero,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Senior,Domino,Prole,False,Normal,True,Older,FamilySedan,False,City,False,Football,False,FiveThou,True,SubStandard,False,Fair,Poor,Many,Severe,Severe,HundredThou,HundredThou,Thousand,Thousand,HundredThou
Adult,TwentyThou,Middle,False,Adventurous,True,Older,Economy,False,Suburb,False,EggShell,False,TenThou,False,Normal,False,Poor,Poor,Zero,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Adult,TwentyThou,UpperMiddle,False,Psychopath,True,Older,Luxury,False,Secure,False,Football,False,TenThou,True,SubStandard,False,Good,Poor,Many,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Adult,FiveThou,UpperMiddle,False,Adventurous,True,Current,Luxury,False,Secure,False,Football,True,FiftyThou,True,Normal,False,Excellent,Normal,One,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Senior,FiftyThou,Prole,False,Normal,True,Older,FamilySedan,False,City,False,Football,False,FiveThou,False,SubStandard,False,Fair,Poor,Many,Moderate,Severe,TenThou,Thousand,Thousand,TenThou,TenThou
Adult,TwentyThou,Prole,False,Normal,False,Older,FamilySedan,False,City,False,Tank,False,TwentyThou,True,Normal,False,Excellent,Normal,Zero,None,None,Thousand,Thousand,Thousand,Thousand,TenThou
Adult,TwentyThou,Middle,False,Adventurous,True,Older,SportsCar,False,Suburb,False,EggShell,False,TenThou,False,Expert,False,Poor,Excellent,Zero,None,None,Thousand,Thousand,Thousand,Thousand,TenThou
Adult,TwentyThou,UpperMiddle,False,Adventurous,True,Current,SportsCar,False,Secure,False,EggShell,True,TwentyThou,True,Expert,False,Poor,Excellent,One,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
